(0.09, 1.34, 27.74),(0.09, -0.32, 33.12)
(2.40, 4.08, 101.64),(3.32, 2.78, 38.23)
(14.26, 12.86, 177.21),(10.15, 5.61, 36.89)
(45.17, 36.86, 241.63),(21.67, 19.66, 23.85)
(93.49, 83.06, 248.73),(20.20, 19.68, -20.32)
(121.35, 101.07, 202.58),(22.61, 14.19, -69.92)
(213.67, 145.14, -36.31),(73.81, 28.66, -127.42)
(435.84, 233.37, -207.93),(133.92, 59.46, -29.38)
(656.52, 389.77, -135.97),(57.94, 78.72, 104.02)
(638.58, 470.75, 129.64),(-28.88, 15.39, 147.59)
(584.12, 581.76, 396.71),(-32.97, 110.47, 89.54)
(508.20, 823.25, 372.94),(-16.99, 95.95, -101.46)
(529.38, 996.35, 132.03),(21.87, 68.91, -135.31)
(549.62, 1051.09, 10.14),(3.76, 6.59, -23.09)
(549.86, 1072.33, 21.49),(-5.17, 23.70, 20.91)
(552.21, 1117.41, 48.35),(3.51, 14.83, 9.68)
(579.10, 1137.80, 76.79),(18.64, 21.34, 13.02)
(625.30, 1164.82, 50.53),(25.22, 17.31, -23.43)
(670.55, 1206.08, 7.63),(17.06, 20.83, -15.62)
(669.42, 1246.40, 8.83),(-20.69, 20.42, 15.36)
(626.14, 1298.39, 34.69),(-24.72, 27.02, 2.34)
(603.52, 1323.23, 27.53),(-0.24, 4.86, -6.85)
(603.11, 1343.41, 20.55),(-6.17, 17.12, 6.96)
(589.11, 1377.75, 23.13),(-4.80, 11.96, -11.36)
(593.74, 1406.30, 2.54),(7.82, 16.87, -1.41)
(605.97, 1438.23, -0.60),(7.27, 8.35, 3.69)
(639.50, 1415.11, 23.63),(15.07, -20.94, 20.11)
(671.91, 1379.46, 70.63),(-1.86, -9.04, 14.81)
(680.37, 1366.71, 126.11),(16.15, -9.13, 29.86)
(700.28, 1374.92, 192.59),(-7.14, 11.10, 33.61)
